Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
6/10/2013,2.59,2.59,2.52,2.52,2.52,71700,2,Monday
6/11/2013,2.52,2.54,2.38,2.42,2.42,99700,3,Tuesday
6/12/2013,2.44,2.46,2.39,2.43,2.43,60800,4,Wednesday
6/13/2013,2.45,2.49,2.36,2.43,2.43,60800,5,Thursday
6/14/2013,2.42,2.52,2.4,2.43,2.43,77000,6,Friday
6/17/2013,2.43,2.48,2.31,2.38,2.38,130900,2,Monday
6/18/2013,2.35,2.37,2.3,2.34,2.34,62300,3,Tuesday
6/19/2013,2.33,2.47,2.33,2.37,2.37,49400,4,Wednesday
6/20/2013,2.27,2.35,2.2,2.2,2.2,176300,5,Thursday
6/21/2013,2.22,2.3,2.2,2.21,2.21,167000,6,Friday
6/24/2013,2.19,2.21,2.03,2.06,2.06,274700,2,Monday
6/25/2013,2.1,2.13,1.94,1.97,1.97,221400,3,Tuesday
6/26/2013,1.96,1.96,1.85,1.94,1.94,277600,4,Wednesday
6/27/2013,1.95,2.09,1.95,2.07,2.07,393400,5,Thursday
6/28/2013,2.07,2.1,1.96,2.09,2.09,175500,6,Friday
7/1/2013,2.07,2.13,2.06,2.1,2.1,79100,2,Monday
7/2/2013,2.07,2.09,2,2.04,2.04,161600,3,Tuesday
7/3/2013,2.03,2.1,2.01,2.02,2.02,29500,4,Wednesday
7/5/2013,2.04,2.04,1.94,2,2,131400,6,Friday
7/8/2013,2.01,2.07,2,2.03,2.03,81000,2,Monday
7/9/2013,2.05,2.08,2.03,2.05,2.05,54300,3,Tuesday
7/10/2013,2.07,2.11,2.04,2.07,2.07,46200,4,Wednesday
7/11/2013,2.12,2.28,2.12,2.25,2.25,363000,5,Thursday
7/12/2013,2.22,2.28,2.19,2.28,2.28,116400,6,Friday
7/15/2013,2.28,2.4,2.28,2.36,2.36,92300,2,Monday
7/16/2013,2.36,2.43,2.3,2.35,2.35,113500,3,Tuesday
7/17/2013,2.41,2.45,2.29,2.35,2.35,143200,4,Wednesday
7/18/2013,2.31,2.35,2.21,2.3,2.3,155400,5,Thursday
7/19/2013,2.29,2.45,2.25,2.45,2.45,110900,6,Friday
7/22/2013,2.45,2.61,2.43,2.59,2.59,182300,2,Monday
7/23/2013,2.57,2.65,2.49,2.65,2.65,219000,3,Tuesday
7/24/2013,2.64,2.73,2.5,2.55,2.55,182700,4,Wednesday
7/25/2013,2.57,2.58,2.5,2.51,2.51,44700,5,Thursday
7/26/2013,2.46,2.66,2.27,2.47,2.47,64300,6,Friday
7/29/2013,2.46,2.54,2.42,2.52,2.52,67500,2,Monday
7/30/2013,2.53,2.53,2.35,2.42,2.42,104700,3,Tuesday
7/31/2013,2.4,2.41,2.25,2.32,2.32,235600,4,Wednesday
8/1/2013,2.34,2.38,2.25,2.3,2.3,73600,5,Thursday
8/2/2013,2.3,2.3,2.12,2.16,2.16,183200,6,Friday
8/5/2013,2.18,2.28,2.18,2.27,2.27,70100,2,Monday
8/6/2013,2.22,2.22,2.06,2.11,2.11,130000,3,Tuesday
8/7/2013,2.07,2.07,1.98,2,2,232600,4,Wednesday
8/8/2013,2,2.12,2,2.08,2.08,182100,5,Thursday
8/9/2013,2.09,2.1,2.04,2.04,2.04,107300,6,Friday
8/12/2013,2.08,2.18,2.04,2.16,2.16,264300,2,Monday
8/13/2013,2.18,2.18,2.05,2.1,2.1,249700,3,Tuesday
